corpus=918, words=10275, K=20, a=0.200000, b=0.300000
initial perplexity=1876.647973
-503 p=1341.209640
-504 p=1342.061568
-505 p=1342.100058
-506 p=1342.848329
-507 p=1342.192934
-508 p=1342.394040
-509 p=1344.474118
-510 p=1344.305495
-511 p=1343.894218
-512 p=1343.290046
-513 p=1342.836932
-514 p=1342.310318
-515 p=1341.717870
-516 p=1341.037135
-517 p=1341.087161
-518 p=1340.161023
-519 p=1340.887665
-520 p=1338.667554
-521 p=1338.783572
-522 p=1338.355336
-523 p=1339.862954
-524 p=1340.765650
-525 p=1340.205122
-526 p=1340.582143
-527 p=1341.057945
-528 p=1340.373044
-529 p=1340.124194
-530 p=1340.780245
-531 p=1338.118488
-532 p=1338.382581
-533 p=1339.029986
-534 p=1337.590474
-535 p=1338.290599
-536 p=1339.404616
-537 p=1339.813931
-538 p=1340.126144
-539 p=1338.149556
-540 p=1339.678451
-541 p=1337.179321
-542 p=1337.304078
-543 p=1338.242689
-544 p=1339.429907
-545 p=1340.343104
-546 p=1338.377823
-547 p=1338.226285
-548 p=1341.357477
-549 p=1340.727190
-550 p=1341.766875
-551 p=1340.141990
-552 p=1341.802894
-553 p=1340.851633
-554 p=1339.304887
-555 p=1339.742600
-556 p=1341.573368
-557 p=1340.299783
-558 p=1339.927053
-559 p=1337.570434
-560 p=1338.723830
-561 p=1337.332609
-562 p=1338.743849
-563 p=1338.316438
-564 p=1336.584663
-565 p=1334.965442
-566 p=1335.311438
-567 p=1334.316671
-568 p=1334.728789
-569 p=1336.022610
-570 p=1334.266883
-571 p=1334.981275
-572 p=1336.457324
-573 p=1337.429853
-574 p=1336.595616
-575 p=1337.045703
-576 p=1336.641652
-577 p=1337.944630
-578 p=1337.339383
-579 p=1339.442614
-580 p=1338.029079
-581 p=1336.614458
-582 p=1337.866045
-583 p=1338.484611
-584 p=1338.665984
-585 p=1338.301023
-586 p=1338.063179
-587 p=1337.100856
-588 p=1340.667462
-589 p=1340.417587
-590 p=1339.698150
-591 p=1339.588623
-592 p=1337.287449
-593 p=1336.930787
-594 p=1336.860817
-595 p=1337.089202
-596 p=1338.270470
-597 p=1336.895206
-598 p=1335.963402
-599 p=1335.532364
-600 p=1335.928417
-601 p=1336.844707
-602 p=1337.515620
-603 p=1335.927252
-604 p=1335.413799
-605 p=1336.241507
-606 p=1336.220224
-607 p=1338.387883
-608 p=1339.191126
-609 p=1337.154663
-610 p=1336.729687
-611 p=1335.517962
-612 p=1334.096760
-613 p=1335.040757
-614 p=1334.384467
-615 p=1334.977235
-616 p=1335.084792
-617 p=1335.212747
-618 p=1334.432889
-619 p=1332.572469
-620 p=1331.986150
-621 p=1332.860798
-622 p=1332.380936
-623 p=1332.618895
-624 p=1333.356345
-625 p=1332.443495
-626 p=1330.784195
-627 p=1330.269404
-628 p=1330.301618
-629 p=1329.465957
-630 p=1330.033351
-631 p=1331.025442
-632 p=1333.478476
-633 p=1334.577850
-634 p=1330.311416
-635 p=1332.533338
-636 p=1330.412298
-637 p=1331.920020
-638 p=1330.655693
-639 p=1330.014848
-640 p=1331.477348
-641 p=1330.166103
-642 p=1329.249455
-643 p=1328.694610
-644 p=1328.721187
-645 p=1327.804985
-646 p=1329.194629
-647 p=1328.582904
-648 p=1329.581161
-649 p=1327.741960
-650 p=1327.919167
-651 p=1328.556740
-652 p=1327.722601
-653 p=1325.842773
-654 p=1326.562660
-655 p=1327.127840
-656 p=1328.101534
-657 p=1327.809558
-658 p=1326.310726
-659 p=1327.097350
-660 p=1327.297214
-661 p=1328.154830
